2025.09.17 22:41:20 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.09.17 22:41:20 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.09.17 22:41:20 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.09.17 22:41:20 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.09.17 22:41:20 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.09.17 22:41:20 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.09.17 22:41:20 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.09.17 22:41:20 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.09.17 22:41:20 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.09.17 22:41:20 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.09.17 22:41:21 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
